,MARGINALPDBC_1,MARGINALPDBC_2,MARGINALPDBCPT_1,MARGINALPDBCPT_2,Demanda no servida sobre marginal_ES,Total Compras_ES,Total Ventas_ES,Total Contratos Bilaterales_ES,Demanda no servida sobre marginal_PT,Total Compras_PT,Total Ventas_PT,Total Contratos Bilaterales_PT,Demanda no servida sobre marginal_MI,Total Compras_MI,Total Ventas_MI,Total Contratos Bilaterales_MI
2018-06-02 00:00:00,60.69,60.69,60.69,60.69,,"18.472,6","15.187,2",,,"5.186,3","6.271,7",,,"23.658,9","21.458,9",
2018-06-02 01:00:00,59.74,59.74,59.74,59.74,,"17.421,9","14.593,5",,,"4.896,7","5.525,1",,,"22.318,6","20.118,6",
2018-06-02 02:00:00,59.3,59.3,59.3,59.3,,"16.228,2","14.113,7",,,"4.612,4","5.226,9",,,"20.840,6","19.340,6",
2018-06-02 03:00:00,58.33,58.33,58.33,58.33,,"15.500,7","13.341,3",,,"4.444,9","5.104,3",,,"19.945,6","18.445,6",
2018-06-02 04:00:00,58.0,58.0,58.0,58.0,,"15.023,3","12.843,1",,,"4.321,8","5.002,0",,,"19.345,1","17.845,1",
2018-06-02 05:00:00,57.07,57.07,57.07,57.07,,"14.815,9","12.654,1",,,"4.274,1","4.935,9",,,"19.090,0","17.590,0",
2018-06-02 06:00:00,56.64,56.64,56.64,56.64,,"14.768,4","12.363,9",,,"4.138,9","5.043,4",,,"18.907,3","17.407,3",
2018-06-02 07:00:00,56.64,56.64,56.64,56.64,,"15.219,4","12.316,1",,,"4.034,1","5.437,4",,,"19.253,5","17.753,5",
2018-06-02 08:00:00,57.13,57.13,57.13,57.13,,"16.871,5","12.734,5",,,"4.260,1","5.947,1",,,"21.131,6","18.681,6",
2018-06-02 09:00:00,63.61,63.61,63.61,63.61,,"18.313,9","14.029,3",,,"4.679,4","6.514,0",,,"22.993,3","20.543,3",
2018-06-02 10:00:00,64.97,64.97,64.97,64.97,,"19.655,2","15.439,3",,,"5.026,6","6.792,5",,,"24.681,8","22.231,8",
2018-06-02 11:00:00,64.97,64.97,64.97,64.97,,"20.174,0","16.208,5",,,"5.213,5","6.729,0",,,"25.387,5","22.937,5",
2018-06-02 12:00:00,64.97,64.97,64.97,64.97,,"20.632,3","16.828,2",,,"5.337,3","6.691,4",,,"25.969,6","23.519,6",
2018-06-02 13:00:00,64.97,64.97,64.97,64.97,,"20.957,2","17.237,2",,,"5.371,9","6.641,9",,,"26.329,1","23.879,1",
2018-06-02 14:00:00,62.86,62.86,62.86,62.86,,"20.564,1","17.268,4",,,"5.270,6","6.116,3",,,"25.834,7","23.384,7",
2018-06-02 15:00:00,58.64,58.64,58.64,58.64,,"20.105,2","16.995,1",,,"5.177,6","5.837,7",,,"25.282,8","22.832,8",
2018-06-02 16:00:00,55.0,55.0,55.0,55.0,,"19.372,3","16.481,3",,,"5.105,8","5.546,8",,,"24.478,1","22.028,1",
2018-06-02 17:00:00,54.54,54.54,54.54,54.54,,"19.030,6","15.893,7",,,"5.015,5","5.702,4",,,"24.046,1","21.596,1",
2018-06-02 18:00:00,56.13,56.13,56.13,56.13,,"18.779,2","15.416,2",,,"4.971,1","5.884,1",,,"23.750,3","21.300,3",
2018-06-02 19:00:00,61.0,61.0,61.0,61.0,,"18.804,3","15.200,8",,,"5.037,2","6.190,7",,,"23.841,5","21.391,5",
2018-06-02 20:00:00,64.29,64.29,64.29,64.29,,"19.033,1","14.952,1",,,"5.185,1","6.816,1",,,"24.218,2","21.768,2",
2018-06-02 21:00:00,66.0,66.0,66.0,66.0,,"19.563,3","15.240,1",,,"5.267,4","7.140,6",,,"24.830,7","22.380,7",
2018-06-02 22:00:00,66.0,66.0,66.0,66.0,,"19.136,4","15.128,9",,,"5.416,8","6.974,3",,,"24.553,2","22.103,2",
2018-06-02 23:00:00,65.71,65.71,65.71,65.71,,"17.801,4","14.386,0",,,"5.205,3","6.420,7",,,"23.006,7","20.806,7",
2018-06-03 00:00:00,64.97,64.97,64.97,64.97,,"16.226,4","13.722,9",,,"4.890,9","5.194,4",,,"21.117,3","18.917,3",
2018-06-03 01:00:00,64.93,64.93,64.93,64.93,,"14.800,0","13.503,5",,,"4.543,3","4.339,8",,,"19.343,3","17.843,3",
2018-06-03 02:00:00,62.86,62.86,62.86,62.86,,"14.005,5","12.982,7",,,"4.275,4","3.798,2",,,"18.280,9","16.780,9",
2018-06-03 03:00:00,61.37,61.37,61.37,61.37,,"13.526,0","12.601,5",,,"4.083,8","3.508,3",,,"17.609,8","16.109,8",
2018-06-03 04:00:00,56.64,56.64,56.64,56.64,,"13.174,6","12.151,6",,,"3.986,6","3.509,6",,,"17.161,2","15.661,2",
2018-06-03 05:00:00,52.0,52.0,52.0,52.0,,"13.141,2","12.030,9",,,"3.895,4","3.505,7",,,"17.036,6","15.536,6",
2018-06-03 06:00:00,50.2,50.2,50.2,50.2,,"12.947,6","11.895,5",,,"3.911,8","3.463,9",,,"16.859,4","15.359,4",
2018-06-03 07:00:00,49.95,49.95,49.95,49.95,,"12.948,2","11.841,8",,,"3.936,1","3.542,5",,,"16.884,3","15.384,3",
2018-06-03 08:00:00,50.0,50.0,50.0,50.0,,"13.692,6","12.314,7",,,"3.929,5","3.807,4",,,"17.622,1","16.122,1",
2018-06-03 09:00:00,53.01,53.01,53.01,53.01,,"15.284,0","13.773,0",,,"4.090,5","4.101,5",,,"19.374,5","17.874,5",
2018-06-03 10:00:00,55.0,55.0,55.0,55.0,,"16.405,0","15.079,1",,,"4.443,3","4.269,2",,,"20.848,3","19.348,3",
2018-06-03 11:00:00,54.64,54.64,54.64,54.64,,"17.295,0","16.328,6",,,"4.743,4","4.209,8",,,"22.038,4","20.538,4",
2018-06-03 12:00:00,53.13,53.13,53.13,53.13,,"17.859,1","17.131,4",,,"4.974,7","4.202,4",,,"22.833,8","21.333,8",
2018-06-03 13:00:00,52.04,52.04,52.04,52.04,,"18.374,2","17.672,2",,,"5.090,3","4.292,3",,,"23.464,5","21.964,5",
2018-06-03 14:00:00,52.51,52.51,52.51,52.51,,"18.854,2","18.157,8",,,"4.988,4","4.184,8",,,"23.842,6","22.342,6",
2018-06-03 15:00:00,49.71,49.71,49.71,49.71,,"17.929,6","17.987,5",,,"5.568,4","4.010,5",,,"23.498,0","21.998,0",
2018-06-03 16:00:00,48.75,46.97,48.75,46.97,,"17.455,9","17.755,9",,,"5.585,7","3.785,7",,,"23.041,6","21.541,6",
2018-06-03 17:00:00,47.92,46.87,47.92,46.87,,"17.229,0","17.529,0",,,"5.696,5","3.896,5",,,"22.925,5","21.425,5",
2018-06-03 18:00:00,46.75,46.75,46.75,46.75,,"17.563,8","17.007,0",,,"5.788,2","3.895,0",,,"23.352,0","20.902,0",
2018-06-03 19:00:00,49.0,49.0,49.0,49.0,,"17.640,2","16.347,6",,,"5.513,9","4.356,5",,,"23.154,1","20.704,1",
2018-06-03 20:00:00,51.5,51.5,51.5,51.5,,"18.354,6","15.499,7",,,"4.895,8","5.300,7",,,"23.250,4","20.800,4",
2018-06-03 21:00:00,63.03,63.03,63.03,63.03,,"18.724,8","16.027,9",,,"5.106,5","5.603,4",,,"23.831,3","21.631,3",
2018-06-03 22:00:00,64.97,64.97,64.97,64.97,,"18.905,1","16.261,4",,,"5.331,9","5.775,6",,,"24.237,0","22.037,0",
2018-06-03 23:00:00,61.79,61.79,61.79,61.79,,"17.383,2","15.461,8",,,"5.159,1","4.880,5",,,"22.542,3","20.342,3",
2018-06-04 00:00:00,55.69,55.69,55.69,55.69,,"16.525,0","14.336,1",,,"4.812,4","4.801,3",,,"21.337,4","19.137,4",
2018-06-04 01:00:00,51.94,51.94,51.94,51.94,,"15.221,0","13.701,0",,,"4.508,6","4.528,6",,,"19.729,6","18.229,6",
2018-06-04 02:00:00,49.95,49.95,49.95,49.95,,"14.518,1","13.451,2",,,"4.743,2","4.310,1",,,"19.261,3","17.761,3",
2018-06-04 03:00:00,49.66,49.66,49.66,49.66,,"14.224,5","13.497,3",,,"4.967,1","4.194,3",,,"19.191,6","17.691,6",
2018-06-04 04:00:00,49.0,49.0,49.0,49.0,,"14.154,1","13.494,8",,,"4.901,3","4.060,6",,,"19.055,4","17.555,4",
2018-06-04 05:00:00,49.89,49.89,49.89,49.89,,"14.483,4","13.288,6",,,"4.774,0","4.468,8",,,"19.257,4","17.757,4",
2018-06-04 06:00:00,55.0,55.0,55.0,55.0,,"16.255,8","13.918,7",,,"4.094,7","4.931,8",,,"20.350,5","18.850,5",
2018-06-04 07:00:00,61.01,61.01,61.01,61.01,,"18.775,3","14.633,0",,,"4.254,9","5.947,2",,,"23.030,2","20.580,2",
2018-06-04 08:00:00,63.01,63.01,63.01,63.01,,"20.643,8","15.970,1",,,"4.951,6","7.275,3",,,"25.595,4","23.245,4",
2018-06-04 09:00:00,63.35,63.35,63.35,63.35,,"21.631,8","16.968,5",,,"5.743,6","8.056,9",,,"27.375,4","25.025,4",
2018-06-04 10:00:00,62.8,62.8,62.8,62.8,,"22.257,0","17.737,6",,,"6.110,6","8.280,0",,,"28.367,6","26.017,6",
2018-06-04 11:00:00,61.79,61.79,61.79,61.79,,"22.852,5","18.458,9",,,"6.195,9","8.239,5",,,"29.048,4","26.698,4",
2018-06-04 12:00:00,61.97,61.97,61.97,61.97,,"23.420,6","19.109,8",,,"6.313,6","8.274,4",,,"29.734,2","27.384,2",
2018-06-04 13:00:00,61.29,61.29,61.29,61.29,,"23.897,9","19.479,0",,,"6.171,4","8.240,3",,,"30.069,3","27.719,3",
2018-06-04 14:00:00,58.67,58.67,58.67,58.67,,"23.821,7","19.658,7",,,"6.061,3","7.874,3",,,"29.883,0","27.533,0",
2018-06-04 15:00:00,56.0,56.0,56.0,56.0,,"23.429,7","19.491,8",,,"6.090,7","7.678,6",,,"29.520,4","27.170,4",
2018-06-04 16:00:00,55.0,55.0,55.0,55.0,,"23.330,6","19.550,6",,,"6.064,7","7.494,7",,,"29.395,3","27.045,3",
2018-06-04 17:00:00,56.07,56.07,56.07,56.07,,"22.867,3","19.412,8",,,"6.087,9","7.516,7",,,"28.955,2","26.929,5",
2018-06-04 18:00:00,58.27,58.27,58.27,58.27,,"21.917,5","19.079,2",,,"5.903,9","7.614,3",,,"27.821,4","26.693,5",
2018-06-04 19:00:00,61.79,61.79,61.79,61.79,,"21.538,1","18.653,0",,,"5.858,2","7.654,3",,,"27.396,3","26.307,3",
2018-06-04 20:00:00,61.17,61.17,61.17,61.17,,"21.745,8","17.560,8",,,"5.952,1","7.787,1",,,"27.697,9","25.347,9",
2018-06-04 21:00:00,64.53,64.53,64.53,64.53,,"22.068,6","17.501,2",,,"5.978,4","8.195,8",,,"28.047,0","25.697,0",
2018-06-04 22:00:00,63.79,63.79,63.79,63.79,,"20.987,7","16.893,2",,,"6.048,1","7.792,6",,,"27.035,8","24.685,8",
2018-06-04 23:00:00,58.51,58.51,58.51,58.51,,"18.618,0","15.460,0",,,"5.745,8","6.803,8",,,"24.363,8","22.263,8",
2018-06-05 00:00:00,53.22,53.22,53.22,53.22,,"18.851,9","16.150,6",,,"5.350,5","5.951,8",,,"24.202,4","22.102,4",
2018-06-05 01:00:00,52.33,52.33,52.33,52.33,,"17.395,5","15.508,5",,,"4.901,0","4.988,0",,,"22.296,5","20.496,5",
2018-06-05 02:00:00,51.0,51.0,51.0,51.0,,"16.469,8","14.703,9",,,"4.646,9","4.612,8",,,"21.116,7","19.316,7",
2018-06-05 03:00:00,50.17,50.17,50.17,50.17,,"16.080,6","14.335,8",,,"4.606,7","4.551,5",,,"20.687,3","18.887,3",
2018-06-05 04:00:00,50.01,50.01,50.01,50.01,,"15.863,7","14.031,9",,,"4.512,8","4.544,6",,,"20.376,5","18.576,5",
2018-06-05 05:00:00,50.79,50.79,50.79,50.79,,"16.204,1","14.034,1",,,"4.378,0","4.748,0",,,"20.582,1","18.782,1",
2018-06-05 06:00:00,53.13,53.13,53.13,53.13,,"17.401,4","14.837,9",,,"4.353,0","5.116,5",,,"21.754,4","19.954,4",
2018-06-05 07:00:00,58.01,58.01,58.01,58.01,,"19.792,1","15.911,1",,,"4.444,9","6.051,2",,,"24.237,0","21.962,3",
2018-06-05 08:00:00,62.8,62.8,62.8,62.8,,"21.178,7","17.230,3",,,"5.083,5","7.018,0",,,"26.262,2","24.248,3",
2018-06-05 09:00:00,63.9,63.9,63.9,63.9,,"22.110,6","18.145,8",,,"5.846,6","7.762,3",,,"27.957,2","25.908,1",
2018-06-05 10:00:00,63.79,63.79,63.79,63.79,,"22.652,2","18.942,7",,,"6.019,6","7.828,3",,,"28.671,8","26.771,0",
2018-06-05 11:00:00,62.8,62.8,62.8,62.8,,"23.241,4","19.314,2",,,"6.114,9","7.781,0",,,"29.356,3","27.095,2",
2018-06-05 12:00:00,62.86,62.86,62.86,62.86,,"23.948,2","20.113,2",,,"6.224,8","7.709,8",,,"30.173,0","27.823,0",
2018-06-05 13:00:00,62.87,62.87,62.87,62.87,,"24.467,1","20.576,7",,,"6.068,0","7.658,4",,,"30.535,1","28.235,1",
2018-06-05 14:00:00,62.8,62.8,62.8,62.8,,"23.816,1","20.451,6",,,"6.013,9","7.078,4",,,"29.830,0","27.530,0",
2018-06-05 15:00:00,60.0,60.0,60.0,60.0,,"23.158,4","20.383,2",,,"6.206,4","6.681,6",,,"29.364,8","27.064,8",
2018-06-05 16:00:00,60.0,60.0,60.0,60.0,,"23.148,8","20.434,3",,,"6.192,4","6.606,9",,,"29.341,2","27.041,2",
2018-06-05 17:00:00,60.0,60.0,60.0,60.0,,"22.898,1","20.097,1",,,"6.174,7","6.675,7",,,"29.072,8","26.772,8",
2018-06-05 18:00:00,59.46,59.46,59.46,59.46,,"22.444,0","19.491,8",,,"5.947,2","6.668,2",,,"28.391,2","26.160,0",
2018-06-05 19:00:00,62.7,62.7,62.7,62.7,,"21.890,8","19.309,2",,,"5.866,4","7.105,1",,,"27.757,2","26.414,3",
2018-06-05 20:00:00,62.07,62.07,62.07,62.07,,"22.292,6","18.715,6",,,"5.945,0","7.222,0",,,"28.237,6","25.937,6",
2018-06-05 21:00:00,64.0,64.0,64.0,64.0,,"22.666,4","18.726,5",,,"5.964,7","7.604,6",,,"28.631,1","26.331,1",
2018-06-05 22:00:00,63.0,63.0,63.0,63.0,,"21.771,9","18.253,5",,,"6.007,9","7.226,3",,,"27.779,8","25.479,8",
2018-06-05 23:00:00,59.0,59.0,59.0,59.0,,"19.724,0","16.973,7",,,"5.694,0","6.344,3",,,"25.418,0","23.318,0",
2018-06-06 00:00:00,62.03,62.03,62.03,62.03,,"18.334,4","15.202,9",,,"5.308,2","6.339,7",,,"23.642,6","21.542,6",
2018-06-06 01:00:00,61.33,61.33,61.33,61.33,,"17.077,5","14.964,6",,,"4.986,0","5.298,9",,,"22.063,5","20.263,5",
2018-06-06 02:00:00,58.02,58.02,58.02,58.02,,"16.564,0","14.415,2",,,"4.717,8","5.066,6",,,"21.281,8","19.481,8",
2018-06-06 03:00:00,56.64,56.64,56.64,56.64,,"16.106,1","13.923,0",,,"4.561,6","4.944,7",,,"20.667,7","18.867,7",
2018-06-06 04:00:00,56.64,56.64,56.64,56.64,,"15.946,4","13.689,9",,,"4.484,0","4.940,5",,,"20.430,4","18.630,4",
2018-06-06 05:00:00,57.52,57.52,57.52,57.52,,"16.190,2","13.656,0",,,"4.416,1","5.150,3",,,"20.606,3","18.806,3",
2018-06-06 06:00:00,62.21,62.21,62.21,62.21,,"17.590,8","13.835,9",,,"4.371,6","6.326,5",,,"21.962,4","20.162,4",
2018-06-06 07:00:00,64.29,64.93,64.29,64.93,,"20.288,3","14.988,3",,,"4.475,1","7.475,1",,,"24.763,4","22.463,4",
2018-06-06 08:00:00,64.55,65.35,64.55,65.35,,"22.104,8","16.804,8",,,"5.196,7","8.196,7",,,"27.301,5","25.001,5",
2018-06-06 09:00:00,64.96,65.65,64.96,65.65,,"22.799,5","18.017,6",,,"5.972,9","8.972,9",,,"28.772,4","26.990,5",
2018-06-06 10:00:00,65.11,65.11,65.11,65.11,,"23.390,1","18.150,1",,,"6.109,5","9.049,5",,,"29.499,6","27.199,6",
2018-06-06 11:00:00,65.0,65.0,65.0,65.0,,"23.964,8","18.876,8",,,"6.242,7","9.030,7",,,"30.207,5","27.907,5",
2018-06-06 12:00:00,65.19,65.19,65.19,65.19,,"24.289,1","19.306,6",,,"6.316,6","8.999,1",,,"30.605,7","28.305,7",
2018-06-06 13:00:00,65.0,65.0,65.0,65.0,,"24.572,2","19.628,8",,,"6.312,8","8.956,2",,,"30.885,0","28.585,0",
2018-06-06 14:00:00,64.13,64.13,64.13,64.13,,"23.737,2","19.680,1",,,"6.227,9","7.985,0",,,"29.965,1","27.665,1",
2018-06-06 15:00:00,62.86,62.86,62.86,62.86,,"23.449,5","19.790,5",,,"6.380,0","7.739,0",,,"29.829,5","27.529,5",
2018-06-06 16:00:00,62.8,62.8,62.8,62.8,,"23.330,2","19.743,2",,,"6.386,5","7.673,5",,,"29.716,7","27.416,7",
2018-06-06 17:00:00,62.79,62.79,62.79,62.79,,"23.188,3","19.455,2",,,"6.358,1","7.791,2",,,"29.546,4","27.246,4",
2018-06-06 18:00:00,61.25,61.25,61.25,61.25,,"22.709,8","18.990,4",,,"6.114,5","7.555,6",,,"28.824,3","26.546,0",
2018-06-06 19:00:00,63.31,63.31,63.31,63.31,,"22.652,7","19.103,5",,,"6.005,6","8.118,0",,,"28.658,3","27.221,5",
2018-06-06 20:00:00,62.79,62.79,62.79,62.79,,"22.893,4","18.397,4",,,"6.089,8","8.285,8",,,"28.983,2","26.683,2",
2018-06-06 21:00:00,64.4,64.4,64.4,64.4,,"23.077,1","18.367,9",,,"6.114,1","8.523,3",,,"29.191,2","26.891,2",
2018-06-06 22:00:00,63.35,63.35,63.35,63.35,,"21.917,2","17.553,4",,,"6.202,7","8.266,5",,,"28.119,9","25.819,9",
2018-06-06 23:00:00,62.0,62.0,62.0,62.0,,"19.675,7","16.060,1",,,"5.869,5","7.385,1",,,"25.545,2","23.445,2",
2018-06-07 00:00:00,61.03,61.03,61.03,61.03,,"18.450,5","15.529,3",,,"5.362,1","6.183,3",,,"23.812,6","21.712,6",
2018-06-07 01:00:00,60.96,60.96,60.96,60.96,,"17.310,9","15.398,8",,,"5.020,5","5.132,6",,,"22.331,4","20.531,4",
2018-06-07 02:00:00,59.47,59.47,59.47,59.47,,"16.724,3","14.886,5",,,"4.783,0","4.820,8",,,"21.507,3","19.707,3",
2018-06-07 03:00:00,56.64,56.64,56.64,56.64,,"16.335,3","14.690,7",,,"4.633,2","4.477,8",,,"20.968,5","19.168,5",
2018-06-07 04:00:00,56.64,56.64,56.64,56.64,,"16.073,6","14.457,5",,,"4.557,0","4.373,1",,,"20.630,6","18.830,6",
2018-06-07 05:00:00,56.0,56.0,56.0,56.0,,"16.235,7","14.569,1",,,"4.529,5","4.396,1",,,"20.765,2","18.965,2",
2018-06-07 06:00:00,58.21,58.21,58.21,58.21,,"17.470,7","14.887,6",,,"4.414,1","5.197,2",,,"21.884,8","20.084,8",
2018-06-07 07:00:00,60.96,60.96,60.96,60.96,,"19.630,1","15.646,4",,,"4.514,5","6.198,2",,,"24.144,6","21.844,6",
2018-06-07 08:00:00,64.06,64.06,64.06,64.06,,"21.532,7","17.425,5",,,"5.226,9","7.034,1",,,"26.759,6","24.459,6",
2018-06-07 09:00:00,65.2,65.2,65.2,65.2,,"22.509,2","18.537,3",,,"6.013,1","7.685,0",,,"28.522,3","26.222,3",
2018-06-07 10:00:00,64.6,64.6,64.6,64.6,,"22.837,0","19.046,5",,,"6.387,0","7.877,5",,,"29.224,0","26.924,0",
2018-06-07 11:00:00,64.6,64.6,64.6,64.6,,"23.448,1","19.609,6",,,"6.534,2","8.072,7",,,"29.982,3","27.682,3",
2018-06-07 12:00:00,64.67,64.67,64.67,64.67,,"24.107,6","20.236,4",,,"6.719,3","8.290,5",,,"30.826,9","28.526,9",
2018-06-07 13:00:00,63.73,63.73,63.73,63.73,,"24.339,7","20.158,6",,,"6.533,0","8.414,1",,,"30.872,7","28.572,7",
2018-06-07 14:00:00,63.02,63.02,63.02,63.02,,"23.782,4","19.984,0",,,"6.481,3","7.979,7",,,"30.263,7","27.963,7",
2018-06-07 15:00:00,62.99,62.99,62.99,62.99,,"23.593,6","19.933,2",,,"6.611,7","7.972,1",,,"30.205,3","27.905,3",
2018-06-07 16:00:00,64.0,64.0,64.0,64.0,,"23.510,4","19.849,8",,,"6.582,9","7.943,5",,,"30.093,3","27.793,3",
2018-06-07 17:00:00,64.29,64.29,64.29,64.29,,"23.263,9","19.551,5",,,"6.575,2","7.987,6",,,"29.839,1","27.539,1",
2018-06-07 18:00:00,64.6,64.6,64.6,64.6,,"22.710,1","18.909,7",,,"6.300,9","7.862,5",,,"29.011,0","26.772,2",
2018-06-07 19:00:00,65.51,65.51,65.51,65.51,,"22.763,6","18.924,9",,,"6.187,5","8.068,7",,,"28.951,1","26.993,6",
2018-06-07 20:00:00,65.57,65.57,65.57,65.57,,"22.605,4","18.313,7",,,"6.228,6","8.220,3",,,"28.834,0","26.534,0",
2018-06-07 21:00:00,65.96,65.96,65.96,65.96,,"23.039,7","18.715,5",,,"6.216,7","8.240,9",,,"29.256,4","26.956,4",
2018-06-07 22:00:00,65.77,65.77,65.77,65.77,,"21.837,9","17.781,8",,,"6.273,8","8.029,9",,,"28.111,7","25.811,7",
2018-06-07 23:00:00,64.6,64.6,64.6,64.6,,"19.573,1","16.277,7",,,"5.952,4","7.147,8",,,"25.525,5","23.425,5",
2018-06-08 00:00:00,62.8,62.8,62.8,62.8,,"18.376,1","15.609,4",,,"5.472,2","6.138,9",,,"23.848,3","21.748,3",
2018-06-08 01:00:00,62.01,62.01,62.01,62.01,,"16.963,9","15.053,1",,,"4.998,5","5.109,3",,,"21.962,4","20.162,4",
2018-06-08 02:00:00,61.55,61.55,61.55,61.55,,"16.347,0","14.393,7",,,"4.719,8","4.873,1",,,"21.066,8","19.266,8",
2018-06-08 03:00:00,60.0,60.0,60.0,60.0,,"15.879,5","13.893,2",,,"4.577,7","4.764,0",,,"20.457,2","18.657,2",
2018-06-08 04:00:00,58.12,58.12,58.12,58.12,,"15.767,5","13.854,2",,,"4.492,0","4.605,3",,,"20.259,5","18.459,5",
2018-06-08 05:00:00,58.31,58.31,58.31,58.31,,"16.015,5","13.961,5",,,"4.470,1","4.724,1",,,"20.485,6","18.685,6",
2018-06-08 06:00:00,60.09,60.09,60.09,60.09,,"17.106,1","14.557,3",,,"4.469,7","5.218,5",,,"21.575,8","19.775,8",
2018-06-08 07:00:00,61.6,61.6,61.6,61.6,,"19.137,0","15.531,9",,,"4.598,7","5.903,8",,,"23.735,7","21.435,7",
2018-06-08 08:00:00,63.06,63.06,63.06,63.06,,"20.987,1","17.041,5",,,"5.234,0","6.879,6",,,"26.221,1","23.921,1",
2018-06-08 09:00:00,64.6,64.6,64.6,64.6,,"22.133,9","18.065,4",,,"6.062,2","7.830,7",,,"28.196,1","25.896,1",
2018-06-08 10:00:00,64.67,64.67,64.67,64.67,,"22.781,3","19.054,1",,,"6.546,3","7.973,5",,,"29.327,6","27.027,6",
2018-06-08 11:00:00,64.6,64.6,64.6,64.6,,"23.472,9","19.714,8",,,"6.647,2","8.105,3",,,"30.120,1","27.820,1",
2018-06-08 12:00:00,64.6,64.6,64.6,64.6,,"23.985,3","20.224,6",,,"6.762,4","8.223,1",,,"30.747,7","28.447,7",
2018-06-08 13:00:00,63.5,63.5,63.5,63.5,,"24.339,9","20.643,6",,,"6.567,8","7.964,1",,,"30.907,7","28.607,7",
2018-06-08 14:00:00,62.8,62.8,62.8,62.8,,"23.844,3","20.763,8",,,"6.418,9","7.199,4",,,"30.263,2","27.963,2",
2018-06-08 15:00:00,61.55,61.55,61.55,61.55,,"23.369,8","20.646,1",,,"6.538,8","6.962,5",,,"29.908,6","27.608,6",
2018-06-08 16:00:00,61.01,61.01,61.01,61.01,,"23.071,9","20.361,0",,,"6.399,2","6.810,1",,,"29.471,1","27.171,1",
2018-06-08 17:00:00,61.01,61.01,61.01,61.01,,"22.650,2","19.913,2",,,"6.352,3","6.789,3",,,"29.002,5","26.702,5",
2018-06-08 18:00:00,60.96,60.96,60.96,60.96,,"22.087,7","19.161,3",,,"6.136,6","6.763,0",,,"28.224,3","25.924,3",
2018-06-08 19:00:00,61.9,61.9,61.9,61.9,,"22.027,8","18.786,2",,,"6.084,3","7.025,9",,,"28.112,1","25.812,1",
2018-06-08 20:00:00,62.79,62.79,62.79,62.79,,"21.700,6","18.212,4",,,"6.146,5","7.334,7",,,"27.847,1","25.547,1",
2018-06-08 21:00:00,63.5,63.5,63.5,63.5,,"21.910,8","18.131,3",,,"6.114,2","7.593,7",,,"28.025,0","25.725,0",
2018-06-08 22:00:00,62.91,62.91,62.91,62.91,,"20.991,8","17.795,0",,,"6.169,2","7.066,0",,,"27.161,0","24.861,0",
2018-06-08 23:00:00,61.9,61.9,61.9,61.9,,"19.307,3","16.670,9",,,"5.840,4","6.376,8",,,"25.147,7","23.047,7",
2018-06-09 00:00:00,62.19,62.19,62.19,62.19,,"16.777,5","13.742,1",,,"5.338,4","6.373,8",,,"22.115,9","20.115,9",
2018-06-09 01:00:00,61.1,61.1,61.1,61.1,,"15.338,0","13.158,8",,,"5.066,6","5.245,8",,,"20.404,6","18.404,6",
2018-06-09 02:00:00,61.1,61.1,61.1,61.1,,"14.609,6","12.761,0",,,"4.745,2","5.043,8",,,"19.354,8","17.804,8",
2018-06-09 03:00:00,61.1,61.1,61.1,61.1,,"14.188,3","12.495,4",,,"4.540,5","4.683,4",,,"18.728,8","17.178,8",
2018-06-09 04:00:00,60.78,60.78,60.78,60.78,,"13.930,4","12.214,3",,,"4.423,1","4.589,2",,,"18.353,5","16.803,5",
2018-06-09 05:00:00,59.59,59.59,59.59,59.59,,"13.692,1","12.073,0",,,"4.383,5","4.452,6",,,"18.075,6","16.525,6",
2018-06-09 06:00:00,58.05,58.05,58.05,58.05,,"13.750,0","12.140,0",,,"4.204,5","4.314,5",,,"17.954,5","16.454,5",
2018-06-09 07:00:00,56.47,56.47,56.47,56.47,,"14.045,2","12.087,8",,,"4.091,9","4.549,3",,,"18.137,1","16.637,1",
2018-06-09 08:00:00,56.48,56.48,56.48,56.48,,"15.302,5","12.329,9",,,"4.356,6","4.929,2",,,"19.659,1","17.259,1",
2018-06-09 09:00:00,60.96,60.96,60.96,60.96,,"17.308,3","13.608,3",,,"4.768,1","6.068,1",,,"22.076,4","19.676,4",
2018-06-09 10:00:00,61.5,61.5,61.5,61.5,,"18.661,3","14.913,2",,,"5.113,1","6.461,2",,,"23.774,4","21.374,4",
2018-06-09 11:00:00,61.03,61.03,61.03,61.03,,"19.359,0","15.844,0",,,"5.309,5","6.424,5",,,"24.668,5","22.268,5",
2018-06-09 12:00:00,59.53,59.53,59.53,59.53,,"19.946,4","16.701,2",,,"5.444,4","6.289,6",,,"25.390,8","22.990,8",
2018-06-09 13:00:00,59.59,59.59,59.59,59.59,,"20.481,9","17.682,1",,,"5.473,1","5.872,9",,,"25.955,0","23.555,0",
2018-06-09 14:00:00,59.59,59.59,59.59,59.59,,"20.396,2","18.161,5",,,"5.317,1","5.151,8",,,"25.713,3","23.313,3",
2018-06-09 15:00:00,53.1,53.1,53.1,53.1,,"19.575,2","17.741,9",,,"5.209,8","4.643,1",,,"24.785,0","22.385,0",
2018-06-09 16:00:00,51.1,51.1,51.1,51.1,,"18.788,3","17.396,1",,,"5.136,7","4.128,9",,,"23.925,0","21.525,0",
2018-06-09 17:00:00,50.34,50.34,50.34,50.34,,"18.421,9","16.983,9",,,"5.044,9","4.082,9",,,"23.466,8","21.066,8",
